Frame 0: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 8: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 8: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 9: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 9: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 9: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 9: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 9: ('moon', 'reflects', 'sunlight') → REJECTED (A↔B)
Frame 10: ('sun', 'sets_behind', 'hill') → REJECTED (A↔B)
Frame 10: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 10: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 10: ('child', 'pets', 'dog') → REJECTED (A↔B)
Frame 10: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 11: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 11: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 11: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 11: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 11: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 12: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 12: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 12: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 12: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 12: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 13: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 13: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 13: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 13: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 13: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 14: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 14: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 14: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 14: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 14: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 15: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 15: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 15: ('10', 'divided_by', '2', 'equals', '5') → REJECTED (A↔B)
Frame 15: ('cat', 'scratches', 'couch') → REJECTED (A↔B)
Frame 15: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 16: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 16: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 16: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 16: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 16: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 17: ('snow', 'covers', 'road') → REJECTED (A↔B)
Frame 17: ('5', 'plus', '7', 'equals', '12') → REJECTED (A↔B)
Frame 17: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 17: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 17: ('student', 'reads', 'book') → REJECTED (A↔B)
Frame 18: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 18: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 18: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 18: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 18: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 19: ('teacher', 'corrects', 'test') → REJECTED (A↔B)
Frame 19: ('water', 'fills', 'bottle') → REJECTED (A↔B)
Frame 19: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 19: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 19: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 20: ('3', 'plus', '2', 'equals', '5') → REJECTED (A↔B)
Frame 20: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 20: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 20: ('10', 'divided_by', '2', 'equals', '5') → REJECTED (A↔B)
Frame 20: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 21: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 21: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 21: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 21: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 21: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 22: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 22: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 22: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 22: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 22: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 23: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 23: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 23: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 23: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 23: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 24: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 24: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 24: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 24: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 24: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 25: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 25: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 25: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 25: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 25: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 26: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 26: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 26: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 26: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 26: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 27: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 27: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 27: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 27: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 27: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 28: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 28: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 28: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 28: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 28: ('snow', 'covers', 'road') → REJECTED (A↔B)
Frame 29: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 29: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 29: ('water', 'fills', 'bottle') → REJECTED (A↔B)
Frame 29: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 29: ('moon', 'reflects', 'sunlight') → REJECTED (A↔B)
Frame 30: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 30: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 30: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 30: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 30: ('student', 'reads', 'book') → REJECTED (A↔B)
Frame 31: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 31: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 31: ('sun', 'sets_behind', 'hill') → REJECTED (A↔B)
Frame 31: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 31: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 32: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 32: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 32: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 32: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 32: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 33: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 33: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 33: ('student', 'reads', 'book') → REJECTED (A↔B)
Frame 33: ('boat', 'sails_on', 'lake') → REJECTED (A↔B)
Frame 33: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 34: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 34: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 34: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 34: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 34: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 35: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 35: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 35: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 35: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 35: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 36: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 36: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 36: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 36: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 36: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 37: ('train', 'arrives_at', 'station') → REJECTED (A↔B)
Frame 37: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 37: ('10', 'divided_by', '2', 'equals', '5') → REJECTED (A↔B)
Frame 37: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 37: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 38: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 38: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 38: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 38: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 38: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 39: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 39: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 39: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 39: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 39: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 40: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 40: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 40: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 40: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 40: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 41: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 41: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 41: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 41: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 41: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 42: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 42: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 42: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 42: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 42: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 43: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 43: ('5', 'times', '2', 'equals', '10') → REJECTED (A↔B)
Frame 43: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 43: ('door', 'opens_to', 'room') → REJECTED (A↔B)
Frame 43: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 44: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 44: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 44: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 44: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 44: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 45: ('tree', 'drops', 'leaves') → REJECTED (A↔B)
Frame 45: ('dog', 'guards', 'house') → REJECTED (A↔B)
Frame 45: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 45: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 45: ('sunlight', 'warms', 'rock') → REJECTED (A↔B)
Frame 46: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 46: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 46: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 46: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 46: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 47: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 47: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 47: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 47: ('river', 'flows_into', 'ocean') → REJECTED (A↔B)
Frame 47: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 48: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 48: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 48: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 48: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 48: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 49: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 49: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 49: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 49: ('child', 'pets', 'dog') → REJECTED (A↔B)
Frame 49: ('river', 'flows_into', 'ocean') → REJECTED (A↔B)
Frame 50: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 50: ('tree', 'shades', 'ground') → REJECTED (A↔B)
Frame 50: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 50: ('teacher', 'writes_on', 'board') → REJECTED (A↔B)
Frame 50: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 51: ('cat', 'climbs', 'tree') → REJECTED (A↔B)
Frame 51: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 51: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 51: ('ice', 'melts_on', 'plate') → REJECTED (A↔B)
Frame 51: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 52: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 52: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 52: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 52: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 52: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 53: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 53: ('boat', 'sails_on', 'lake') → REJECTED (A↔B)
Frame 53: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 53: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 53: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 54: ('teacher', 'teaches', 'student') → REJECTED (A↔B)
Frame 54: ('sun', 'sets_behind', 'hill') → REJECTED (A↔B)
Frame 54: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 54: ('snow', 'covers', 'road') → REJECTED (A↔B)
Frame 54: ('sun', 'sets_behind', 'hill') → REJECTED (A↔B)
Frame 55: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 55: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 55: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 55: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 55: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 56: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 56: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 56: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 56: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 56: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 57: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 57: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 57: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 57: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 57: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 58: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 58: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 58: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 58: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 58: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 59: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 59: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 59: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 59: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 59: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 60: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 60: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 60: ('moon', 'rises_above', 'trees') → REJECTED (A↔B)
Frame 60: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 60: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 61: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 61: ('6', 'divided_by', '3', 'equals', '2') → REJECTED (A↔B)
Frame 61: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 61: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 61: ('bee', 'buzzes_around', 'flower') → REJECTED (A↔B)
Frame 62: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 62: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 62: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 62: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 62: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 63: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 63: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 63: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 63: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 63: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 64: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 64: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 64: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 64: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 64: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 65: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 65: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 65: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 65: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 65: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 66: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 66: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 66: ('child', 'pets', 'dog') → REJECTED (A↔B)
Frame 66: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 66: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 67: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 67: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 67: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 67: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 67: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 68: ('cloud', 'blocks', 'sun') → REJECTED (A↔B)
Frame 68: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 68: ('camera', 'captures', 'image') → REJECTED (A↔B)
Frame 68: ('7', 'minus', '4', 'equals', '3') → REJECTED (A↔B)
Frame 68: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 69: ('2', 'times', '3', 'equals', '6') → REJECTED (A↔B)
Frame 69: ('8', 'divided_by', '2', 'equals', '4') → REJECTED (A↔B)
Frame 69: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 69: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 69: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 70: ('9', 'divided_by', '3', 'equals', '3') → REJECTED (A↔B)
Frame 70: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 70: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 70: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 70: ('wind', 'blows', 'tree') → REJECTED (A↔B)
