Frame 0: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 23: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 23: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 24: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 24: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 24: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 24: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 24: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 25: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 25: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 25: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 25: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 25: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 26: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 26: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 26: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 26: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 26: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 27: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 27: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 27: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 27: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 27: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 28: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 28: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 28: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 28: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 28: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 29: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 29: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 29: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 29: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 29: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 30: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 30: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 30: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 30: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 30: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 31: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 31: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 31: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 31: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 31: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 32: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 32: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 32: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 32: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 32: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 33: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 33: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 33: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 33: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 33: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 34: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 34: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 34: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 34: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 34: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 35: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 35: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 35: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 35: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 35: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 36: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 36: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 36: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 36: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 36: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 37: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 37: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 37: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 37: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 37: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 38: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 38: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 38: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 38: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 38: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 39: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 39: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 39: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 39: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 39: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 40: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 40: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 40: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 40: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 40: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 41: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 41: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 41: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 41: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 41: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 42: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 42: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 42: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 42: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 42: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 43: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 43: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 43: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 43: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 43: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 44: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 44: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 44: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 44: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 44: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 45: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 45: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 45: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 45: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 45: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 46: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 46: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 46: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 46: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 46: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 47: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 47: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 47: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 47: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 47: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 48: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 48: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 48: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 48: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 48: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 49: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 49: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 49: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 49: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 49: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 50: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 50: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 50: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 50: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 50: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 51: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 51: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 51: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 51: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 51: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 52: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 52: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 52: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 52: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 52: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 53: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 53: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 53: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 53: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 53: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 54: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 54: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 54: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 54: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 54: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 55: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 55: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 55: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 55: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 55: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 56: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 56: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 56: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 56: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 56: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 57: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 57: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 57: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 57: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 57: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 58: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 58: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 58: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 58: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 58: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 59: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 59: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 59: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 59: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 59: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 60: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 60: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 60: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 60: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 60: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 61: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 61: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 61: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 61: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 61: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 62: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 62: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 62: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 62: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 62: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 63: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 63: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 63: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 63: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 63: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 64: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 64: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 64: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 64: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 64: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 65: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 65: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 65: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 65: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 65: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 66: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 66: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 66: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 66: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 66: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 67: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 67: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 67: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 67: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 67: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 68: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 68: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 68: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 68: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 68: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 69: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 69: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 69: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 69: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 69: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 70: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 70: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 70: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 70: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 70: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 71: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 71: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 71: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 71: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 71: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 72: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 72: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 72: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 72: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 72: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 73: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 73: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 73: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 73: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 73: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 74: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 74: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 74: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 74: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 74: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 75: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 75: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 75: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 75: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 75: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 76: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 76: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 76: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 76: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 76: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 77: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 77: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 77: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 77: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 77: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 78: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 78: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 78: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 78: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 78: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 79: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 79: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 79: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 79: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 79: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 80: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 80: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 80: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 80: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 80: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 81: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 81: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 81: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 81: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 81: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 82: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 82: ('parent', 'guides', 'child') → REJECTED (A↔B)
