Frame 0: PROPOSED ('afraid', 'bored', 'afraid') ↔ ('ängstlich', 'gelangweilt', 'ängstlich') → REJECTED
Frame 17: PROPOSED ('tired', 'one', 'sad') ↔ ('müde', 'eins', 'traurig') → REJECTED
Frame 17: PROPOSED ('cold', 'none', 'table') ↔ ('kalt', 'keine', 'Tisch') → REJECTED
Frame 18: PROPOSED ('over', 'small', 'jump') ↔ ('über', 'klein', 'springen') → REJECTED
Frame 18: PROPOSED ('learn', 'warm', 'tired') ↔ ('lernen', 'warm', 'müde') → REJECTED
Frame 19: PROPOSED ('bright', 'artist', 'door') ↔ ('hell', 'Künstler', 'Tür') → REJECTED
Frame 19: PROPOSED ('river', 'all', 'run') ↔ ('Fluss', 'alle', 'laufen') → REJECTED
Frame 20: PROPOSED ('artist', 'fly', 'beside') ↔ ('Künstler', 'fliegen', 'neben') → REJECTED
Frame 20: PROPOSED ('learn', 'big', 'around') ↔ ('lernen', 'groß', 'um') → REJECTED
Frame 21: PROPOSED ('one', 'river', 'field') ↔ ('eins', 'Fluss', 'Feld') → REJECTED
Frame 21: PROPOSED ('across', 'spoon', 'learn') ↔ ('über', 'Löffel', 'lernen') → REJECTED
Frame 22: PROPOSED ('tree', 'tree', 'warm') ↔ ('Baum', 'Baum', 'warm') → REJECTED
Frame 22: PROPOSED ('warm', 'angry', 'through') ↔ ('warm', 'wütend', 'durch') → REJECTED
Frame 23: PROPOSED ('learn', 'backpack', 'cat') ↔ ('lernen', 'Rucksack', 'Katze') → REJECTED
Frame 23: PROPOSED ('car', 'computer', 'backpack') ↔ ('Auto', 'Computer', 'Rucksack') → REJECTED
Frame 24: PROPOSED ('excited', 'few', 'fast') ↔ ('aufgeregt', 'wenige', 'schnell') → REJECTED
Frame 24: PROPOSED ('swim', 'bright', 'bright') ↔ ('schwimmen', 'hell', 'hell') → REJECTED
Frame 25: PROPOSED ('two', 'two', 'cold') ↔ ('zwei', 'zwei', 'kalt') → REJECTED
Frame 25: PROPOSED ('walk', 'under', 'eat') ↔ ('gehen', 'unter', 'essen') → REJECTED
Frame 26: PROPOSED ('backpack', 'table', 'few') ↔ ('Rucksack', 'Tisch', 'wenige') → REJECTED
Frame 26: PROPOSED ('happy', 'small', 'under') ↔ ('glücklich', 'klein', 'unter') → REJECTED
Frame 27: PROPOSED ('across', 'field', 'bored') ↔ ('über', 'Feld', 'gelangweilt') → REJECTED
Frame 27: PROPOSED ('child', 'lamp', 'slow') ↔ ('Kind', 'Lampe', 'langsam') → REJECTED
Frame 28: PROPOSED ('eat', 'boat', 'one') ↔ ('essen', 'Boot', 'eins') → REJECTED
Frame 28: PROPOSED ('house', 'excited', 'run') ↔ ('Haus', 'aufgeregt', 'laufen') → REJECTED
Frame 29: PROPOSED ('one', 'through', 'angry') ↔ ('eins', 'durch', 'wütend') → REJECTED
Frame 29: PROPOSED ('spoon', 'car', 'one') ↔ ('Löffel', 'Auto', 'eins') → REJECTED
Frame 30: PROPOSED ('slow', 'bright', 'door') ↔ ('langsam', 'hell', 'Tür') → REJECTED
Frame 30: PROPOSED ('tired', 'calm', 'mountain') ↔ ('müde', 'ruhig', 'Berg') → REJECTED
Frame 31: PROPOSED ('child', 'run', 'spoon') ↔ ('Kind', 'laufen', 'Löffel') → ACCEPTED
Frame 31: PROPOSED ('build', 'table', 'table') ↔ ('bauen', 'Tisch', 'Tisch') → REJECTED
Frame 32: PROPOSED ('two', 'eat', 'some') ↔ ('zwei', 'essen', 'einige') → REJECTED
Frame 32: PROPOSED ('sleep', 'fast', 'two') ↔ ('schlafen', 'schnell', 'zwei') → REJECTED
Frame 33: PROPOSED ('door', 'sleep', 'bored') ↔ ('Tür', 'schlafen', 'gelangweilt') → REJECTED
Frame 33: PROPOSED ('field', 'under', 'excited') ↔ ('Feld', 'unter', 'aufgeregt') → REJECTED
Frame 34: PROPOSED ('safe', 'tree', 'across') ↔ ('sicher', 'Baum', 'über') → REJECTED
Frame 34: PROPOSED ('dark', 'sad', 'field') ↔ ('dunkel', 'traurig', 'Feld') → REJECTED
Frame 35: PROPOSED ('car', 'run', 'walk') ↔ ('Auto', 'laufen', 'gehen') → REJECTED
Frame 35: PROPOSED ('tired', 'cat', 'city') ↔ ('müde', 'Katze', 'Stadt') → REJECTED
Frame 36: PROPOSED ('none', 'teach', 'many') ↔ ('keine', 'lehren', 'viele') → REJECTED
Frame 36: PROPOSED ('learn', 'safe', 'across') ↔ ('lernen', 'sicher', 'über') → REJECTED
Frame 37: PROPOSED ('all', 'across', 'child') ↔ ('alle', 'über', 'Kind') → REJECTED
Frame 37: PROPOSED ('fly', 'run', 'door') ↔ ('fliegen', 'laufen', 'Tür') → REJECTED
Frame 38: PROPOSED ('river', 'river', 'mountain') ↔ ('Fluss', 'Fluss', 'Berg') → REJECTED
Frame 38: PROPOSED ('angry', 'bored', 'big') ↔ ('wütend', 'gelangweilt', 'groß') → REJECTED
Frame 39: PROPOSED ('warm', 'artist', 'cat') ↔ ('warm', 'Künstler', 'Katze') → REJECTED
Frame 39: PROPOSED ('under', 'door', 'sad') ↔ ('unter', 'Tür', 'traurig') → REJECTED
Frame 40: PROPOSED ('near', 'child', 'river') ↔ ('nahe', 'Kind', 'Fluss') → REJECTED
Frame 40: PROPOSED ('learn', 'slow', 'house') ↔ ('lernen', 'langsam', 'Haus') → REJECTED
Frame 41: PROPOSED ('child', 'two', 'angry') ↔ ('Kind', 'zwei', 'wütend') → REJECTED
Frame 41: PROPOSED ('bored', 'lamp', 'jump') ↔ ('gelangweilt', 'Lampe', 'springen') → REJECTED
Frame 42: PROPOSED ('build', 'teach', 'across') ↔ ('bauen', 'lehren', 'über') → REJECTED
Frame 42: PROPOSED ('eat', 'field', 'one') ↔ ('essen', 'Feld', 'eins') → REJECTED
Frame 43: PROPOSED ('city', 'city', 'sad') ↔ ('Stadt', 'Stadt', 'traurig') → REJECTED
Frame 43: PROPOSED ('around', 'run', 'cat') ↔ ('um', 'laufen', 'Katze') → REJECTED
Frame 44: PROPOSED ('teacher', 'many', 'backpack') ↔ ('Lehrer', 'viele', 'Rucksack') → REJECTED
Frame 44: PROPOSED ('excited', 'calm', 'table') ↔ ('aufgeregt', 'ruhig', 'Tisch') → REJECTED
Frame 45: PROPOSED ('excited', 'big', 'boat') ↔ ('aufgeregt', 'groß', 'Boot') → REJECTED
Frame 45: PROPOSED ('excited', 'cold', 'angry') ↔ ('aufgeregt', 'kalt', 'wütend') → REJECTED
Frame 46: PROPOSED ('sleep', 'warm', 'field') ↔ ('schlafen', 'warm', 'Feld') → REJECTED
Frame 46: PROPOSED ('city', 'safe', 'all') ↔ ('Stadt', 'sicher', 'alle') → REJECTED
Frame 47: PROPOSED ('cold', 'walk', 'dark') ↔ ('kalt', 'gehen', 'dunkel') → REJECTED
Frame 47: PROPOSED ('fast', 'boat', 'one') ↔ ('schnell', 'Boot', 'eins') → REJECTED
Frame 48: PROPOSED ('across', 'one', 'bored') ↔ ('über', 'eins', 'gelangweilt') → REJECTED
Frame 48: PROPOSED ('bright', 'chair', 'sad') ↔ ('hell', 'Stuhl', 'traurig') → REJECTED
Frame 49: PROPOSED ('one', 'one', 'cold') ↔ ('eins', 'eins', 'kalt') → REJECTED
Frame 49: PROPOSED ('jump', 'calm', 'backpack') ↔ ('springen', 'ruhig', 'Rucksack') → REJECTED
Frame 50: PROPOSED ('big', 'cold', 'build') ↔ ('groß', 'kalt', 'bauen') → REJECTED
Frame 50: PROPOSED ('through', 'child', 'field') ↔ ('durch', 'Kind', 'Feld') → REJECTED
Frame 51: PROPOSED ('jump', 'tree', 'car') ↔ ('springen', 'Baum', 'Auto') → REJECTED
Frame 51: PROPOSED ('learn', 'house', 'jump') ↔ ('lernen', 'Haus', 'springen') → REJECTED
Frame 52: PROPOSED ('dog', 'dog', 'sad') ↔ ('Hund', 'Hund', 'traurig') → REJECTED
Frame 52: PROPOSED ('beside', 'near', 'tired') ↔ ('neben', 'nahe', 'müde') → REJECTED
Frame 53: PROPOSED ('city', 'backpack', 'eat') ↔ ('Stadt', 'Rucksack', 'essen') → REJECTED
Frame 53: PROPOSED ('big', 'cold', 'dog') ↔ ('groß', 'kalt', 'Hund') → REJECTED
Frame 54: PROPOSED ('all', 'angry', 'small') ↔ ('alle', 'wütend', 'klein') → REJECTED
Frame 54: PROPOSED ('safe', 'near', 'big') ↔ ('sicher', 'nahe', 'groß') → REJECTED
Frame 55: PROPOSED ('jump', 'dog', 'under') ↔ ('springen', 'Hund', 'unter') → REJECTED
Frame 55: PROPOSED ('chair', 'through', 'eat') ↔ ('Stuhl', 'durch', 'essen') → REJECTED
Frame 56: PROPOSED ('fast', 'build', 'over') ↔ ('schnell', 'bauen', 'über') → REJECTED
Frame 56: PROPOSED ('dog', 'warm', 'tree') ↔ ('Hund', 'warm', 'Baum') → REJECTED
Frame 57: PROPOSED ('swim', 'car', 'bored') ↔ ('schwimmen', 'Auto', 'gelangweilt') → REJECTED
Frame 57: PROPOSED ('warm', 'chair', 'door') ↔ ('warm', 'Stuhl', 'Tür') → REJECTED
Frame 58: PROPOSED ('teach', 'run', 'some') ↔ ('lehren', 'laufen', 'einige') → REJECTED
Frame 58: PROPOSED ('across', 'two', 'lamp') ↔ ('über', 'zwei', 'Lampe') → REJECTED
Frame 59: PROPOSED ('around', 'lamp', 'build') ↔ ('um', 'Lampe', 'bauen') → REJECTED
Frame 59: PROPOSED ('learn', 'child', 'chair') ↔ ('lernen', 'Kind', 'Stuhl') → REJECTED
Frame 60: PROPOSED ('one', 'teach', 'sad') ↔ ('eins', 'lehren', 'traurig') → REJECTED
Frame 60: PROPOSED ('near', 'through', 'calm') ↔ ('nahe', 'durch', 'ruhig') → REJECTED
Frame 61: PROPOSED ('slow', 'through', 'all') ↔ ('langsam', 'durch', 'alle') → REJECTED
Frame 61: PROPOSED ('few', 'sleep', 'eat') ↔ ('wenige', 'schlafen', 'essen') → REJECTED
Frame 62: PROPOSED ('two', 'across', 'cold') ↔ ('zwei', 'über', 'kalt') → REJECTED
Frame 62: PROPOSED ('through', 'sleep', 'car') ↔ ('durch', 'schlafen', 'Auto') → REJECTED
Frame 63: PROPOSED ('swim', 'tired', 'mountain') ↔ ('schwimmen', 'müde', 'Berg') → REJECTED
Frame 63: PROPOSED ('walk', 'city', 'eat') ↔ ('gehen', 'Stadt', 'essen') → REJECTED
Frame 64: PROPOSED ('computer', 'one', 'boat') ↔ ('Computer', 'eins', 'Boot') → REJECTED
Frame 64: PROPOSED ('slow', 'field', 'sleep') ↔ ('langsam', 'Feld', 'schlafen') → REJECTED
Frame 65: PROPOSED ('all', 'slow', 'small') ↔ ('alle', 'langsam', 'klein') → REJECTED
Frame 65: PROPOSED ('swim', 'table', 'cat') ↔ ('schwimmen', 'Tisch', 'Katze') → REJECTED
Frame 66: PROPOSED ('house', 'artist', 'cold') ↔ ('Haus', 'Künstler', 'kalt') → REJECTED
Frame 66: PROPOSED ('cat', 'walk', 'river') ↔ ('Katze', 'gehen', 'Fluss') → REJECTED
Frame 67: PROPOSED ('eat', 'sleep', 'city') ↔ ('essen', 'schlafen', 'Stadt') → REJECTED
Frame 67: PROPOSED ('some', 'field', 'none') ↔ ('einige', 'Feld', 'keine') → REJECTED
Frame 68: PROPOSED ('dog', 'build', 'child') ↔ ('Hund', 'bauen', 'Kind') → REJECTED
Frame 68: PROPOSED ('house', 'dog', 'small') ↔ ('Haus', 'Hund', 'klein') → REJECTED
Frame 69: PROPOSED ('fly', 'spoon', 'car') ↔ ('fliegen', 'Löffel', 'Auto') → REJECTED
Frame 69: PROPOSED ('jump', 'over', 'through') ↔ ('springen', 'über', 'durch') → REJECTED
Frame 70: PROPOSED ('small', 'tree', 'boat') ↔ ('klein', 'Baum', 'Boot') → REJECTED
Frame 70: PROPOSED ('all', 'over', 'teacher') ↔ ('alle', 'über', 'Lehrer') → REJECTED
Frame 71: PROPOSED ('spoon', 'child', 'around') ↔ ('Löffel', 'Kind', 'um') → REJECTED
Frame 71: PROPOSED ('near', 'safe', 'house') ↔ ('nahe', 'sicher', 'Haus') → REJECTED
Frame 72: PROPOSED ('artist', 'sleep', 'under') ↔ ('Künstler', 'schlafen', 'unter') → REJECTED
Frame 72: PROPOSED ('door', 'mountain', 'cold') ↔ ('Tür', 'Berg', 'kalt') → REJECTED
Frame 73: PROPOSED ('big', 'walk', 'swim') ↔ ('groß', 'gehen', 'schwimmen') → REJECTED
Frame 73: PROPOSED ('afraid', 'around', 'learn') ↔ ('ängstlich', 'um', 'lernen') → REJECTED
Frame 74: PROPOSED ('beside', 'lamp', 'around') ↔ ('neben', 'Lampe', 'um') → REJECTED
Frame 74: PROPOSED ('dog', 'computer', 'under') ↔ ('Hund', 'Computer', 'unter') → REJECTED
Frame 75: PROPOSED ('some', 'teach', 'lamp') ↔ ('einige', 'lehren', 'Lampe') → REJECTED
Frame 75: PROPOSED ('under', 'field', 'teach') ↔ ('unter', 'Feld', 'lehren') → REJECTED
Frame 76: PROPOSED ('across', 'teacher', 'swim') ↔ ('über', 'Lehrer', 'schwimmen') → REJECTED
Frame 76: PROPOSED ('boat', 'across', 'under') ↔ ('Boot', 'über', 'unter') → REJECTED
Frame 77: PROPOSED ('river', 'sad', 'many') ↔ ('Fluss', 'traurig', 'viele') → REJECTED
Frame 77: PROPOSED ('fly', 'big', 'lamp') ↔ ('fliegen', 'groß', 'Lampe') → REJECTED
Frame 78: PROPOSED ('few', 'jump', 'angry') ↔ ('wenige', 'springen', 'wütend') → REJECTED
Frame 78: PROPOSED ('table', 'run', 'one') ↔ ('Tisch', 'laufen', 'eins') → REJECTED
Frame 79: PROPOSED ('none', 'teacher', 'across') ↔ ('keine', 'Lehrer', 'über') → REJECTED
Frame 79: PROPOSED ('angry', 'warm', 'sad') ↔ ('wütend', 'warm', 'traurig') → REJECTED
Frame 80: PROPOSED ('computer', 'learn', 'big') ↔ ('Computer', 'lernen', 'groß') → REJECTED
Frame 80: PROPOSED ('one', 'jump', 'swim') ↔ ('eins', 'springen', 'schwimmen') → REJECTED
Frame 81: PROPOSED ('tree', 'bored', 'artist') ↔ ('Baum', 'gelangweilt', 'Künstler') → REJECTED
Frame 81: PROPOSED ('excited', 'many', 'fly') ↔ ('aufgeregt', 'viele', 'fliegen') → REJECTED
Frame 82: PROPOSED ('computer', 'teach', 'one') ↔ ('Computer', 'lehren', 'eins') → REJECTED
Frame 82: PROPOSED ('chair', 'table', 'dog') ↔ ('Stuhl', 'Tisch', 'Hund') → REJECTED
Frame 83: PROPOSED ('run', 'over', 'sleep') ↔ ('laufen', 'über', 'schlafen') → REJECTED
Frame 83: PROPOSED ('dark', 'computer', 'door') ↔ ('dunkel', 'Computer', 'Tür') → REJECTED
Frame 84: PROPOSED ('over', 'teach', 'dog') ↔ ('über', 'lehren', 'Hund') → REJECTED
Frame 84: PROPOSED ('teacher', 'dark', 'over') ↔ ('Lehrer', 'dunkel', 'über') → REJECTED
Frame 85: PROPOSED ('all', 'big', 'all') ↔ ('alle', 'groß', 'alle') → REJECTED
Frame 85: PROPOSED ('fast', 'house', 'tree') ↔ ('schnell', 'Haus', 'Baum') → REJECTED
Frame 86: PROPOSED ('under', 'child', 'teach') ↔ ('unter', 'Kind', 'lehren') → REJECTED
Frame 86: PROPOSED ('run', 'small', 'child') ↔ ('laufen', 'klein', 'Kind') → REJECTED
Frame 87: PROPOSED ('few', 'slow', 'spoon') ↔ ('wenige', 'langsam', 'Löffel') → REJECTED
Frame 87: PROPOSED ('angry', 'near', 'one') ↔ ('wütend', 'nahe', 'eins') → REJECTED
Frame 88: PROPOSED ('artist', 'artist', 'backpack') ↔ ('Künstler', 'Künstler', 'Rucksack') → REJECTED
Frame 88: PROPOSED ('two', 'house', 'all') ↔ ('zwei', 'Haus', 'alle') → REJECTED
Frame 89: PROPOSED ('cold', 'over', 'river') ↔ ('kalt', 'über', 'Fluss') → REJECTED
Frame 89: PROPOSED ('city', 'small', 'build') ↔ ('Stadt', 'klein', 'bauen') → REJECTED
Frame 90: PROPOSED ('table', 'warm', 'over') ↔ ('Tisch', 'warm', 'über') → REJECTED
Frame 90: PROPOSED ('two', 'near', 'backpack') ↔ ('zwei', 'nahe', 'Rucksack') → REJECTED
Frame 91: PROPOSED ('through', 'afraid', 'field') ↔ ('durch', 'ängstlich', 'Feld') → REJECTED
Frame 91: PROPOSED ('none', 'swim', 'cat') ↔ ('keine', 'schwimmen', 'Katze') → REJECTED
Frame 92: PROPOSED ('all', 'lamp', 'backpack') ↔ ('alle', 'Lampe', 'Rucksack') → REJECTED
Frame 92: PROPOSED ('none', 'city', 'learn') ↔ ('keine', 'Stadt', 'lernen') → REJECTED
Frame 93: PROPOSED ('afraid', 'teacher', 'small') ↔ ('ängstlich', 'Lehrer', 'klein') → REJECTED
Frame 93: PROPOSED ('some', 'field', 'warm') ↔ ('einige', 'Feld', 'warm') → REJECTED
Frame 94: PROPOSED ('eat', 'cold', 'all') ↔ ('essen', 'kalt', 'alle') → REJECTED
Frame 94: PROPOSED ('small', 'swim', 'bright') ↔ ('klein', 'schwimmen', 'hell') → REJECTED
Frame 95: PROPOSED ('walk', 'cold', 'backpack') ↔ ('gehen', 'kalt', 'Rucksack') → REJECTED
Frame 95: PROPOSED ('table', 'none', 'boat') ↔ ('Tisch', 'keine', 'Boot') → REJECTED
Frame 96: PROPOSED ('sleep', 'excited', 'around') ↔ ('schlafen', 'aufgeregt', 'um') → REJECTED
Frame 96: PROPOSED ('fast', 'calm', 'excited') ↔ ('schnell', 'ruhig', 'aufgeregt') → REJECTED
Frame 97: PROPOSED ('warm', 'run', 'mountain') ↔ ('warm', 'laufen', 'Berg') → REJECTED
Frame 97: PROPOSED ('sad', 'house', 'field') ↔ ('traurig', 'Haus', 'Feld') → REJECTED
Frame 98: PROPOSED ('eat', 'beside', 'learn') ↔ ('essen', 'neben', 'lernen') → REJECTED
Frame 98: PROPOSED ('cold', 'tree', 'boat') ↔ ('kalt', 'Baum', 'Boot') → REJECTED
Frame 99: PROPOSED ('dog', 'under', 'one') ↔ ('Hund', 'unter', 'eins') → REJECTED
Frame 99: PROPOSED ('happy', 'lamp', 'none') ↔ ('glücklich', 'Lampe', 'keine') → REJECTED
Frame 100: PROPOSED ('walk', 'bored', 'cat') ↔ ('gehen', 'gelangweilt', 'Katze') → REJECTED
Frame 100: PROPOSED ('slow', 'tired', 'tree') ↔ ('langsam', 'müde', 'Baum') → REJECTED
Frame 101: PROPOSED ('under', 'slow', 'teach') ↔ ('unter', 'langsam', 'lehren') → REJECTED
Frame 101: PROPOSED ('table', 'none', 'mountain') ↔ ('Tisch', 'keine', 'Berg') → REJECTED
Frame 102: PROPOSED ('many', 'cold', 'beside') ↔ ('viele', 'kalt', 'neben') → REJECTED
Frame 102: PROPOSED ('lamp', 'swim', 'sad') ↔ ('Lampe', 'schwimmen', 'traurig') → REJECTED
Frame 103: PROPOSED ('few', 'small', 'under') ↔ ('wenige', 'klein', 'unter') → REJECTED
Frame 103: PROPOSED ('warm', 'house', 'slow') ↔ ('warm', 'Haus', 'langsam') → REJECTED
Frame 104: PROPOSED ('eat', 'table', 'car') ↔ ('essen', 'Tisch', 'Auto') → REJECTED
Frame 104: PROPOSED ('two', 'table', 'computer') ↔ ('zwei', 'Tisch', 'Computer') → REJECTED
Frame 105: PROPOSED ('river', 'sad', 'many') ↔ ('Fluss', 'traurig', 'viele') → REJECTED
Frame 105: PROPOSED ('mountain', 'teacher', 'around') ↔ ('Berg', 'Lehrer', 'um') → REJECTED
Frame 106: PROPOSED ('safe', 'city', 'walk') ↔ ('sicher', 'Stadt', 'gehen') → REJECTED
Frame 106: PROPOSED ('excited', 'teacher', 'swim') ↔ ('aufgeregt', 'Lehrer', 'schwimmen') → REJECTED
Frame 107: PROPOSED ('river', 'small', 'swim') ↔ ('Fluss', 'klein', 'schwimmen') → REJECTED
Frame 107: PROPOSED ('river', 'teacher', 'bright') ↔ ('Fluss', 'Lehrer', 'hell') → REJECTED
Frame 108: PROPOSED ('two', 'around', 'lamp') ↔ ('zwei', 'um', 'Lampe') → REJECTED
Frame 108: PROPOSED ('many', 'small', 'sad') ↔ ('viele', 'klein', 'traurig') → REJECTED
Frame 109: PROPOSED ('slow', 'all', 'dark') ↔ ('langsam', 'alle', 'dunkel') → REJECTED
Frame 109: PROPOSED ('learn', 'artist', 'tree') ↔ ('lernen', 'Künstler', 'Baum') → REJECTED
Frame 110: PROPOSED ('build', 'fast', 'some') ↔ ('bauen', 'schnell', 'einige') → REJECTED
Frame 110: PROPOSED ('mountain', 'dog', 'angry') ↔ ('Berg', 'Hund', 'wütend') → REJECTED
Frame 111: PROPOSED ('calm', 'fly', 'two') ↔ ('ruhig', 'fliegen', 'zwei') → REJECTED
Frame 111: PROPOSED ('small', 'angry', 'bored') ↔ ('klein', 'wütend', 'gelangweilt') → REJECTED
Frame 112: PROPOSED ('around', 'child', 'boat') ↔ ('um', 'Kind', 'Boot') → REJECTED
Frame 112: PROPOSED ('through', 'one', 'artist') ↔ ('durch', 'eins', 'Künstler') → REJECTED
Frame 113: PROPOSED ('tree', 'warm', 'across') ↔ ('Baum', 'warm', 'über') → REJECTED
Frame 113: PROPOSED ('safe', 'bored', 'car') ↔ ('sicher', 'gelangweilt', 'Auto') → REJECTED
Frame 114: PROPOSED ('beside', 'tree', 'over') ↔ ('neben', 'Baum', 'über') → REJECTED
Frame 114: PROPOSED ('some', 'artist', 'beside') ↔ ('einige', 'Künstler', 'neben') → REJECTED
Frame 115: PROPOSED ('slow', 'sleep', 'sad') ↔ ('langsam', 'schlafen', 'traurig') → REJECTED
Frame 115: PROPOSED ('teacher', 'none', 'mountain') ↔ ('Lehrer', 'keine', 'Berg') → REJECTED
Frame 116: PROPOSED ('around', 'jump', 'mountain') ↔ ('um', 'springen', 'Berg') → REJECTED
Frame 116: PROPOSED ('safe', 'fly', 'sad') ↔ ('sicher', 'fliegen', 'traurig') → REJECTED
Frame 117: PROPOSED ('river', 'river', 'none') ↔ ('Fluss', 'Fluss', 'keine') → REJECTED
Frame 117: PROPOSED ('build', 'cold', 'lamp') ↔ ('bauen', 'kalt', 'Lampe') → REJECTED
Frame 118: PROPOSED ('swim', 'swim', 'sad') ↔ ('schwimmen', 'schwimmen', 'traurig') → REJECTED
Frame 118: PROPOSED ('many', 'teach', 'bright') ↔ ('viele', 'lehren', 'hell') → REJECTED
Frame 119: PROPOSED ('one', 'safe', 'walk') ↔ ('eins', 'sicher', 'gehen') → REJECTED
Frame 119: PROPOSED ('warm', 'across', 'warm') ↔ ('warm', 'über', 'warm') → REJECTED
Frame 120: PROPOSED ('car', 'across', 'river') ↔ ('Auto', 'über', 'Fluss') → REJECTED
Frame 120: PROPOSED ('under', 'one', 'bright') ↔ ('unter', 'eins', 'hell') → REJECTED
Frame 121: PROPOSED ('backpack', 'few', 'boat') ↔ ('Rucksack', 'wenige', 'Boot') → REJECTED
Frame 121: PROPOSED ('all', 'many', 'chair') ↔ ('alle', 'viele', 'Stuhl') → REJECTED
Frame 122: PROPOSED ('bored', 'river', 'run') ↔ ('gelangweilt', 'Fluss', 'laufen') → REJECTED
Frame 122: PROPOSED ('over', 'walk', 'warm') ↔ ('über', 'gehen', 'warm') → REJECTED
Frame 123: PROPOSED ('door', 'happy', 'spoon') ↔ ('Tür', 'glücklich', 'Löffel') → REJECTED
Frame 123: PROPOSED ('many', 'run', 'cold') ↔ ('viele', 'laufen', 'kalt') → REJECTED
Frame 124: PROPOSED ('fast', 'field', 'angry') ↔ ('schnell', 'Feld', 'wütend') → REJECTED
Frame 124: PROPOSED ('backpack', 'afraid', 'table') ↔ ('Rucksack', 'ängstlich', 'Tisch') → REJECTED
Frame 125: PROPOSED ('warm', 'table', 'tired') ↔ ('warm', 'Tisch', 'müde') → REJECTED
Frame 125: PROPOSED ('tree', 'car', 'near') ↔ ('Baum', 'Auto', 'nahe') → REJECTED
